symbol,exchange,at_institution,at_minimum_order_value,at_minimum_quantity,at_buy_order_mark_up,at_sell_order_mark_up,at_min_ticker_price,at_accumulate_fractional_moo_order,at_max_price_different_percentage,at_max_price_percentage_diff._with_pre._close_price,at_enable_redis_price_sources,at_enable_waiting_for_approval_orders,at_created_by,at_created_date,at_updated_by,at_updated_date,at_notional_order_price_bracket,at_max_notional,at_max_quantity,at_max_single_moo_pool_qty,at_max_internal_exec_qty,at_max_pool_profit_%,at_max_pool_loss_%,at_min_auto_close_qty,at_min_qty_for_additional_price_%,at_additional_price_%,at_price_bracket_enabled,at_combine_buy/sell_moo_pool_order,at_allow_less_than_one_exec_intly,at_notional_moo_pool_order,at_accumulate_moo_in_pre-open,at_allow_auto_close_whole_qty_pool,at_enabled_limit_less_than_equity_min,at_max_market_value_allowed_in_pool,at_allow_auto_close_whole_qty_in_pool_scheduler,ccp_ccp_only_security_name,ccp_ccp_only_currency,ccp_ccp_only_isin,ccp_ccp_only_country_code,ccp_ccp_only_mic_code_x,ccp_ccp_only_bbg_ticker,ccp_ccp_only_tcl1,ccp_ccp_only_tcl2,ccp_ccp_only_tcl3,ccp_ccp_only_status,ccp_ccp_only_tradability,ccp_ccp_only_last_updated,ccp_ccp_only_mic_code_y,ccp_minimum_order_value,ccp_minimum_quantity,ccp_min_ticker_price,ccp_ccp_only_maximum_price_diff_preev_cls,ccp_ccp_only_maximum_price_diff_other_prices,ccp_ccp_only_enb_wfa_ord_in_prc_validtn,ccp_ccp_only_buy_restricted,ccp_ccp_only_sell_restricted,ccp_max_notional,ccp_max_single_moo_pool_qty,ccp_accumulate_fractional_moo_order,ccp_combine_buy/sell_moo_pool_order,ccp_accumulate_moo_in_pre-open,ccp_notional_moo_pool_order,ccp_max_internal_exec_qty,ccp_allow_less_than_one_exec_intly,ccp_enabled_limit_less_than_equity_min,ccp_ccp_only_maximum_pool_profit_percent,ccp_ccp_only_maximum_pool_loss_percent,ccp_min_auto_close_qty,ccp_max_market_value_allowed_in_pool,ccp_ccp_only_allow_auto_close_limit,ccp_allow_auto_close_whole_qty_pool,ccp_allow_auto_close_whole_qty_in_pool_scheduler,ccp_ccp_only_minimum_quantity_for_additional_price_percent,ccp_additional_price_%,ccp_ccp_only_redis_price_enabled,ccp_price_bracket_enabled,mismatched_fields,action
3CNE,LSE,MBS,1,0,0,0,1.0,Yes,0,0,Yes,No,CECIL BRANDON,2025-09-30 14:18:05,,,0,0,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,No,No,0,No,LEVERAGE SHARES PUBLIC LIMITED COMPANY LS 3X LONG COINBASE ETP,EUR,XS2399367254,GB,XLON,BBG013L17455,Traded Products,ETN,Equity,Inactive,Non-Tradable,2025-12-04T13:05:38Z,ALL,1,0,1.0,0,0,False,False,False,0,0,True,True,False,True,0,True,False,0,0,0,0,0,False,False,0,0,True,False,combine_buy/sell_moo_pool_order,UPDATE AT to match CCP and SETUP Market Exception rule in CCP
ORBS,NSDQ,MBS,1,0,0,0,0.5,No,0,0,Yes,No,,2025-09-11 06:19:07,,,0,1500,0,0,0,0,0,0,0,0,No,No,No,Yes,No,No,No,0,No,EIGHTCO HOLDINGS INC,USD,US22890A3023,US,XNCM,BBG013FD1NQ7,Equities,Stocks,Common Stock,Inactive,Non-Tradable,2025-12-05T11:50:57Z,ALL,1,0,0.5,0,0,False,False,False,1500,0,True,False,False,True,0,False,False,0,0,0,0,0,False,False,0,0,True,False,accumulate_fractional_moo_order,UPDATE AT to match CCP and SETUP Market Exception rule in CCP
VDTY,LSE,MBS,1,0,0,0,1.0,Yes,0,0,Yes,No,CECIL BRANDON,2025-09-30 14:12:10,,,0,0,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,No,No,0,No,VANGUARD FUNDS PLC VANGUARD USD TREASURY BOND UCITS ETF,USD,IE00BZ163M45,GB,XLON,BBG00CB2MR57,Traded Products,ETFs,Fixed Income,Inactive,Non-Tradable,2025-12-04T13:05:38Z,ALL,1,0,1.0,0,0,False,False,False,0,0,True,True,False,True,0,True,False,0,0,0,0,0,False,False,0,0,True,False,combine_buy/sell_moo_pool_order,UPDATE AT to match CCP and SETUP Market Exception rule in CCP
TSLS,LSE,MBS,1,0,0,0,1.0,Yes,0,0,Yes,No,CECIL BRANDON,2025-09-30 14:17:57,,,0,0,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,No,No,0,No,LEVERAGE SHARES PUBLIC LIMITED COMPANY LEVSHARES -1X TESLA ETP,USD,XS2944886931,GB,XLON,BBG00V3MFNQ4,Traded Products,ETN,Equity,Inactive,Non-Tradable,2025-12-04T13:05:38Z,ALL,1,0,1.0,0,0,False,False,False,0,0,True,True,False,True,0,True,False,0,0,0,0,0,False,False,0,0,True,False,combine_buy/sell_moo_pool_order,UPDATE AT to match CCP and SETUP Market Exception rule in CCP
X7PS,LSE,MBS,1,0,0,0,1.0,Yes,0,0,Yes,No,CECIL BRANDON,2025-09-30 14:04:16,,,0,0,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,No,No,0,No,INVESCO MARKETS PLC INVESCO STOXX EUR 600 OPT BANKS UCIT ETF,EUR,IE00B5MTWD60,GB,XLON,BBG001YN1J06,Traded Products,ETFs,Equity,Inactive,Non-Tradable,2025-12-04T13:05:38Z,ALL,1,0,1.0,0,0,False,False,False,0,0,True,True,False,True,0,True,False,0,0,0,0,0,False,False,0,0,True,False,combine_buy/sell_moo_pool_order,UPDATE AT to match CCP and SETUP Market Exception rule in CCP
UDVD,LSE,MBS,1,0,0,0,1.0,Yes,0,0,Yes,No,CECIL BRANDON,2025-07-28 01:57:24,CECIL BRANDON,2025-09-30 14:11:48,0,0,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,No,No,0,No,SSGA SPDR ETFS EUROPE I PLC SPDR S&P US DIVIDEND ARISTOCRATS ETF $,USD,IE00B6YX5D40,GB,XLON,BBG0025WP822,Traded Products,ETFs,Equity,Inactive,Non-Tradable,2025-12-04T13:05:38Z,ALL,1,0,1.0,0,0,False,False,False,0,0,True,True,False,True,0,True,False,0,0,0,0,0,False,False,0,0,True,False,combine_buy/sell_moo_pool_order,UPDATE AT to match CCP and SETUP Market Exception rule in CCP
LBUL,LSE,MBS,1,0,0,0,1.0,Yes,0,0,Yes,No,CECIL BRANDON,2025-09-30 14:17:38,,,0,0,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,No,No,0,No,WISDOMTREE COMMODITY SECURITIES LIMITED WISDOMTREE GOLD 2X DAILY LEVERAGED,USD,JE00B2NFTL95,GB,XLON,BBG000RPQW05,Traded Products,ETN,Commodities,Inactive,Non-Tradable,2025-12-04T13:05:38Z,ALL,1,0,1.0,0,0,False,False,False,0,0,True,True,False,True,0,True,False,0,0,0,0,0,False,False,0,0,True,False,combine_buy/sell_moo_pool_order,UPDATE AT to match CCP and SETUP Market Exception rule in CCP
XZEM,LSE,MBS,1,0,0,0,1.0,Yes,0,0,Yes,No,CECIL BRANDON,2025-09-30 14:04:26,,,0,0,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,No,No,0,No,XTRACKERS (IE) PUBLIC LIMITED COMPANY XTRACKERS MSCI EMERG. MKTS ESG UCITS ETF,USD,IE00BG370F43,GB,XLON,BBG00QKJ7448,Traded Products,ETFs,Equity,Inactive,Non-Tradable,2025-12-04T13:05:38Z,ALL,1,0,1.0,0,0,False,False,False,0,0,True,True,False,True,0,True,False,0,0,0,0,0,False,False,0,0,True,False,combine_buy/sell_moo_pool_order,UPDATE AT to match CCP and SETUP Market Exception rule in CCP
DTLE,LSE,MBS,1,0,0,0,1.0,Yes,0,0,Yes,No,CECIL BRANDON,2025-06-02 09:24:49,CECIL BRANDON,2025-09-30 14:16:37,0,0,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,No,No,0,No,ISHARES IV PLC ISH $ TRSRY BOND 20+ YR UCITS  HGD DIST,EUR,IE00BD8PGZ49,GB,XLON,BBG00HQ02LH6,Traded Products,ETFs,Fixed Income,Inactive,Non-Tradable,2025-12-04T13:05:38Z,ALL,1,0,1.0,0,0,False,False,False,0,0,True,True,False,True,0,True,False,0,0,0,0,0,False,False,0,0,True,False,combine_buy/sell_moo_pool_order,UPDATE AT to match CCP and SETUP Market Exception rule in CCP
XDWT,LSE,MBS,1,0,0,0,1.0,Yes,0,0,Yes,No,CECIL BRANDON,2025-07-28 01:57:27,CECIL BRANDON,2025-09-30 14:11:38,0,0,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,No,No,0,No,XTRACKERS (IE) PUBLIC LIMITED COMPANY X MSCI WORLD INF TECH,USD,IE00BM67HT60,GB,XLON,BBG00CGR87N7,Traded Products,ETFs,Equity,Inactive,Non-Tradable,2025-12-04T13:05:38Z,ALL,1,0,1.0,0,0,False,False,False,0,0,True,True,False,True,0,True,False,0,0,0,0,0,False,False,0,0,True,False,combine_buy/sell_moo_pool_order,UPDATE AT to match CCP and SETUP Market Exception rule in CCP
XESJ,LSE,MBS,1,0,0,0,1.0,Yes,0,0,Yes,No,CECIL BRANDON,2025-09-30 14:11:36,,,0,0,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,No,No,0,No,XTRACKERS (IE) PUBLIC LIMITED COMPANY X MSCI ESG JAPAN,GBP,IE00BG36TC12,GB,XLON,BBG00V9V6D08,Traded Products,ETFs,Equity,Inactive,Non-Tradable,2025-12-04T13:05:38Z,ALL,1,0,1.0,0,0,False,False,False,0,0,True,True,False,True,0,True,False,0,0,0,0,0,False,False,0,0,True,False,combine_buy/sell_moo_pool_order,UPDATE AT to match CCP and SETUP Market Exception rule in CCP
ICSU,LSE,MBS,1,0,0,0,1.0,Yes,0,0,Yes,No,CECIL BRANDON,2025-04-04 12:55:56,CECIL BRANDON,2025-09-30 14:16:29,0,0,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,No,No,0,No,ISHARES V PUBLIC LIMITED COMPANY IS SP500 CON STPL SCTR UCITS ETF USD ACC,GBX,IE00B40B8R38,GB,XLON,BBG00G5JQYT3,Traded Products,ETFs,Equity,Inactive,Non-Tradable,2025-12-04T13:05:38Z,ALL,1,0,1.0,0,0,False,False,False,0,0,True,True,False,True,0,True,False,0,0,0,0,0,False,False,0,0,True,False,combine_buy/sell_moo_pool_order,UPDATE AT to match CCP and SETUP Market Exception rule in CCP
LCCN,LSE,MBS,1,0,0,0,1.0,Yes,0,0,Yes,No,CECIL BRANDON,2025-09-30 14:04:19,,,0,0,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,No,No,0,No,MULTI UNITS LUXEMBOURG AMUNDI MSCI CHINA UCITS ETF ACC,USD,LU1841731745,GB,XLON,BBG00MF95SR9,Traded Products,ETFs,Equity,Inactive,Non-Tradable,2025-12-04T13:05:38Z,ALL,1,0,1.0,0,0,False,False,False,0,0,True,True,False,True,0,True,False,0,0,0,0,0,False,False,0,0,True,False,combine_buy/sell_moo_pool_order,UPDATE AT to match CCP and SETUP Market Exception rule in CCP
TI5G,LSE,MBS,1,0,0,0,1.0,Yes,0,0,Yes,No,CECIL BRANDON,2025-03-26 10:43:31,CECIL BRANDON,2025-09-30 14:12:03,0,0,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,No,No,0,No,ISHARES II PLC ISH $ TIPS 0-5 ETF GBP HDG DIST,GBP,IE00BDZVHB89,GB,XLON,BBG00K5SGD48,Traded Products,ETFs,Fixed Income,Inactive,Non-Tradable,2025-12-04T13:05:38Z,ALL,1,0,1.0,0,0,False,False,False,0,0,True,True,False,True,0,True,False,0,0,0,0,0,False,False,0,0,True,False,combine_buy/sell_moo_pool_order,UPDATE AT to match CCP and SETUP Market Exception rule in CCP
U10G,LSE,MBS,1,0,0,0,1.0,Yes,0,0,Yes,No,CECIL BRANDON,2025-09-30 14:16:45,,,0,0,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,No,No,0,No,MULTI UNITS LUXEMBOURG AMUNDI US TREASURY BOND LONG DATED D,GBX,LU1407890620,GB,XLON,BBG00MCDS9Z1,Traded Products,ETFs,Fixed Income,Inactive,Non-Tradable,2025-12-04T13:05:38Z,ALL,1,0,1.0,0,0,False,False,False,0,0,True,True,False,True,0,True,False,0,0,0,0,0,False,False,0,0,True,False,combine_buy/sell_moo_pool_order,UPDATE AT to match CCP and SETUP Market Exception rule in CCP
ZINC,LSE,MBS,1,0,0,0,1.0,Yes,0,0,Yes,No,CECIL BRANDON,2025-09-30 14:17:47,,,0,0,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,No,No,0,No,WISDOMTREE COMMODITY SECURITIES LIMITED WISDOMTREE ZINC,USD,GB00B15KY872,GB,XLON,BBG000BLDV70,Traded Products,ETC,Commodities,Inactive,Non-Tradable,2025-12-04T13:05:38Z,ALL,1,0,1.0,0,0,False,False,False,0,0,True,True,False,True,0,True,False,0,0,0,0,0,False,False,0,0,True,False,combine_buy/sell_moo_pool_order,UPDATE AT to match CCP and SETUP Market Exception rule in CCP
JRZE,LSE,MBS,1,0,0,0,1.0,Yes,0,0,Yes,No,CECIL BRANDON,2025-09-30 14:04:23,,,0,0,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,No,No,0,No,JPMORGAN ETFS (IRELAND) ICAV JPM EUROZONE REI UCITS ETF EUR ACC,GBX,IE00004PGEY9,GB,XLON,BBG016DJ6MZ6,Traded Products,ETFs,Equity,Inactive,Non-Tradable,2025-12-04T13:05:38Z,ALL,1,0,1.0,0,0,False,False,False,0,0,True,True,False,True,0,True,False,0,0,0,0,0,False,False,0,0,True,False,combine_buy/sell_moo_pool_order,UPDATE AT to match CCP and SETUP Market Exception rule in CCP
